Rank,Company,Symbol,YTD Return
143,U.S. Bancorp,USB,-0.81
144,Synopsys Inc,SNPS,0.83
145,Williams Companies Inc.,WMB,0.93
146,"Becton, Dickinson and Co.",BDX,-2.53
147,Cadence Design Systems,CDNS,0.29
148,Emerson Electric Co.,EMR,-1.11
149,Constellation Energy Corporation,CEG,6.37
150,Capital One Financial,COF,1.53
151,"Autozone, Inc.",AZO,-127.36
152,"Roper Technologies, Inc.",ROP,-10.70
153,"Hca Healthcare, Inc.",HCA,-12.61
154,Bank of New York Mellon Corporation,BK,-3.19
155,"Fortinet, Inc.",FTNT,2.24
156,Marriot International Class A,MAR,-10.91
157,Csx Corporation,CSX,-1.13
158,"The Travelers Companies, Inc.",TRV,-2.05
159,Hilton Worldwide Holdings Inc.,HLT,-7.07
160,Schlumberger Limited,SLB,-1.06
161,Paccar Inc,PCAR,-5.84
162,"Airbnb, Inc. Class A",ABNB,-6.71
163,"American Electric Power Company, Inc.",AEP,-2.89
164,"Oneok, Inc.",OKE,1.20
165,"Apollo Global Management, Inc.",APO,4.41
166,Carrier Global Corporation,CARR,-1.40
167,Fedex Corporation,FDX,-3.55
168,Norfolk Southern Corp.,NSC,-6.12
169,Truist Financial Corporation,TFC,-0.46
170,Autodesk Inc,ADSK,2.45
171,Aflac Inc.,AFL,-0.49
172,Nxp Semiconductors N.v.,NXPI,-3.04
173,General Motors Company,GM,0.20
174,The Allstate Corporation,ALL,2.84
175,Target Corporation,TGT,-1.09
176,Phillips 66,PSX,-2.58
177,Johnson Controls International Plc,JCI,-0.93
178,"Workday, Inc. Class A",WDAY,-0.07
179,Royal Caribbean Group,RCL,-0.06
180,Realty Income Corporation,O,-1.78
181,"American International Group, Inc.",AIG,-0.29
182,"Simon Property Group, Inc.",SPG,-1.81
183,"Kinder Morgan, Inc.",KMI,0.27
184,Howmet Aerospace Inc.,HWM,3.19
185,Freeport-Mcmoran Inc.,FCX,1.38
186,Paychex Inc,PAYX,-8.02
187,Public Storage,PSA,-5.39
188,Kimberly-Clark Corp.,KMB,-3.31
189,Newmont Corporation,NEM,1.05
190,"Dominion Energy, Inc.",D,-1.40
191,Republic Services Inc.,RSG,-1.59
192,"Ameriprise Financial, Inc.",AMP,-2.32
193,Copart Inc,CPRT,0.09
194,"Metlife, Inc.",MET,-0.73
195,Kenvue Inc.,KVUE,-0.43
196,Cummins Inc.,CMI,-4.84
197,"Cencora, Inc.",COR,-0.89
198,Fastenal Co,FAST,-2.45
199,"Digital Realty Trust, Inc.",DLR,1.38
200,The Kroger Co.,KR,-1.17
201,"W.W. Grainger, Inc.",GWW,-34.30
202,Te Connectivity Plc,TEL,-3.49
203,"Yum! Brands, Inc.",YUM,-1.39
204,Exelon Corporation,EXC,-0.36
205,Sempra,SRE,-0.68
206,Ross Stores Inc,ROST,-3.47
207,Marathon Petroleum Corporation,MPC,-1.54
208,Crown Castle Inc.,CCI,-0.89
